AAA 177	  Independent Studies	  (0-6)	
GHS 477	  Independent Studies	  (0-6)	
GHS 491	  Global Health Leadership	  (1)	
GIC 101	  Global and Intercultural Studies	  (3) (MPF)	
GIC 228	  Cuba In Transition	  (6) (MPF)	
GIC 286	  Data, Ethics, and Society	  (3)	
GIC 301	  Approaches to Global and Intercultural Studies: Globalization and Belonging	  (3) (MPF)	
GIC 340	  Internship	  (0-20)	
GIC 360	  Topics in Global and Intercultural Studies	  (3; maximum 6)	
GIC 421/GIC 521	  Critical Race and Post-Colonial Studies	  (3)	
GIC 477	  Independent Studies	  (0-6)	
GIC 487	  Globalization, Social Justice and Human Rights	  (3) (MPF)	
GLG 111	  The Dynamic Earth	  (3) (MPF, MPT)	
GLG 115L	  Understanding the Earth	  (1) (MPF)	
GLG 121	  Environmental Geology	  (3) (MPF, MPT)	
GLG 141	  Geology of U	S. National Parks.  (3) (MPF, MPT)	
GLG 147	  Introductory Seminar - Geology & Environmental Earth Science	  (1)	
GLG 177	  Independent Studies	  (0-6)	
GLG 201	  Mineralogy	  (4)	
GLG 204	  Survival on an Evolving Planet	  (4)	
GLG 211	  Chemistry of Earth Systems	  (3)	
GLG 244	  Oceanography	  (3) (MPT)	
GLG 261	  Geohazards and the Solid Earth	  (3)	
GLG 277	  Independent Studies	  (0-6)	
GLG 301	  Sedimentology and Stratigraphy	  (4) (MPT)	
GLG 307	  Water and Society	  (3) (MPT)	
GLG 311	  Geoenvironmental Field Methods	  (3)	
GLG 322	  Structural Geology	  (4) (MPT)	
GLG 335	  Ice Age Earth	  (3) (MPT)	
GLG 340	  Internship	  (0-20)	
GLG 354	  Geomorphology	  (4)	
GLG 357	  Igneous/Metamorphic Petrology	  (4)	
GLG 377	  Independent Studies	  (0-6)	
GLG 402/GLG 502	  Geomicrobiology	  (3)	
GLG 408/GLG 508	  Introduction to Hydrogeology	  (4) (MPT)	
GLG 411A/GLG 511A	  Field Geology	  (6) (MPC)	
GLG 412/GLG 512	  Tropical Ecosystems of Costa Rica	  (5)	
GLG 413/GLG 513	  Tropical Marine Ecology	  (5) (MPT)	
GLG 417/GLG 517	  Forensic Isotope Geochemistry	  (3)	
GLG 419/GLG 519	  Geology of Streams	  (3)	
GLG 427/GLG 527	  Isotope Geochemistry	  (3)	
GLG 428/GLG 528	  Hydrogeological Modeling: Groundwater Flow and Contaminant Transport and Fate	  (4)	
GLG 432/GLG 532	  X-ray Powder Diffraction and Clay Analysis	  (3)	
GLG 435/GLG 535	  Soils and Paleosols	  (3)	
GLG 436/GLG 536	  Paleoclimatology	  (3)	
GLG 437/GLG 537	  Paleontology in Conservation	  (3)	
GLG 447/GLG 547	  Volcanology	  (3)	
GLG 450/GLG 550	  Sedimentary Basin Analysis	  (3)	
GLG 461/GLG 561	  Geophysics	  (3) (MPT)	
GLG 467/GLG 567	  Seismology	  (3) (MPT)	
GLG 477	  Independent Studies	  (0-6)	
GLG 492/GLG 592	  Global Tectonics	  (4) (MPT)	
GLG 496/GLG 596	  Isotopes in Environmental Processes	  (3)	
GLG 497	  Trends and Topics in the Geosciences	  (3) (MPC)	
GLG 498	  Senior Thesis In Geology	  (3-6)	
GLG 630	  Mineral Surface Geochemistry	  (3)	
GLG 640	  Internship	  (0-12; maximum 6)	
GLG 662	  Subduction Zones	  (3)	
GLG 666	  Theoretical Seismology	  (3)	
GLG 670	  Geochemical Modeling	  (1-3; maximum 6)	
GLG 677	  Independent Studies	  (0-6)	
GLG 700	  Research for Master's Thesis	  (1-12; maximum 12)	
GLG 710	  Geology Seminar	  (1-3)	
GLG 720	  Advanced Mineralogy	  (1-3; maximum 3)	
GLG 730	  Advanced Igneous Petrology	  (1-3; maximum 3)	
GLG 760	  Advanced Carbonate Sedimentology	  (1-3; maximum 12)	
GLG 770	  Advanced Topics in Isotope Geochemistry	  (1-3; maximum 12)	
GLG 790	  Research in Geology	  (1-4; maximum 12)	
GLG 850	  Research for Doctoral Dissertation	  (1-16; maximum 60)	
GRK 101	  Beginning Greek	  (4)	
GRK 102	  Beginning Greek	  (4)	
GRK 177	  Independent Studies	  (0-6)	
GRK 201	  Homer	  (3)	
GRK 202	  Plato	  (3)	
GRK 277	  Independent Studies	  (0-6)	
GRK 310	  Special Topics in Greek Literature	  (3; maximum 12)	
GRK 377	  Independent Studies	  (0-6)	
GRK 410	  Special Topics in Greek Literature	  (3; maximum 12)	
GRK 410A	  Greek Tragedy	  (3)	
GRK 477	  Independent Studies	  (0-6)	
GRK 480	  Independent Reading for Department Honors	  (1-6)	
GSC 601	  College Teaching Enhancement Program	  (1; maximum 2)	
GSC 602	  College Teaching	  (1)	
GSC 603	  Academic Cultures	  (1)	
GSC 640	  Internship	  (0-12; maximum 6)	
GSC 677	  Independent Studies	  (0-6)	
GSC 700	  Thesis Completion for Graduate Students	  (0-9; maximum 18)	
GSC 850	  Dissertation Completion for Graduate Students	  (0-9; maximum 18)	
GTY 110	  Opening Minds through Art (OMA) Volunteer Experience	  (1; maximum 3)	
GTY 154	  Big Ideas in Aging	  (3) (MPF, MPT)	
GTY 177	  Independent Studies	  (0-6)	
GTY 244	  Pre-Internship in Gerontology	  (2)	
GTY 260	  Global Aging	  (3) (MPF, MPT)	
GTY 277	  Independent Studies	  (0-6)	
GTY 310	  Opening Minds through Art (OMA) Leadership Experience	  (2; maximum 6)	
GTY 318	  Social Forces and Aging	  (3) (MPT)	
GTY 340	  Internship	  (0-20)	
GTY 354	  Issues & Controversies in Aging	  (3)	
GTY 357	  Medical Sociology	  (3)	
GTY 362	  Data & Decision Making in Aging	  (3) (MPT)	
GTY 365	  Social Policy and Programs in Gerontology	  (3)	
GTY 377	  Independent Studies	  (0-6)	
GTY 440	  Gerontology Capstone Internship	  (1-16; maximum 16) (MPC)	
GTY 456/GTY 556	  Aging & Health	  (3)	
GTY 460/GTY 560	  Selected Topics in Gerontology	  (2-4; maximum 10)	
GTY 465	  Policies & Programs in an Aging Society	  (3)	
GTY 477	  Independent Studies	  (0-6)	
GTY 479/GTY 579	  Research on Inequality in Aging & Health	  (4)	
GTY 601	  New Frontiers in Aging	  (3)	
GTY 602	  Perspectives in Gerontology	  (3)	
GTY 608	  The Logic of Inquiry	  (4)	
GTY 609	  Qualitative Research Methods	  (3)	
GTY 611	  Linking Research and Practice	  (3)	
GTY 612	  Innovations and Trends in the Aging Marketplace	  (3)	
GTY 615	  Readings in Gerontology	  (1-5; maximum 6)	
GTY 620	  Supervised Research or Reading on Selected Topics in Gerontology	  (1-5; maximum 6)	
GTY 640	  Internship	  (0-20)	
GTY 641	  Organizations and the Aging Enterprise	  (3)	
GTY 667	  Policy and Politics of Aging	  (3)	
GTY 677	  Independent Studies	  (0-6)	
GTY 686	  Global Health and Health Care Systems	  (3)	
GTY 700	  Critical Inquiry In Gerontology	  (1-6)	
GTY 702	  Knowledge Construction & Advanced Theory	  (3)	
GTY 705	  Oral and Written Communication for Gerontologists	  (3; maximum 6)	
GTY 708	  Quantitative Methods and Statistics	  (4)	
GTY 709	  Advanced Qualitative Research & Methods	  (4)	
GTY 718	  Statistical Modeling in Gerontology	  (3)	
GTY 745	  Sociology of Aging	  (3)	
GTY 747	  Demography & Epidemiology of Aging	  (3)	
GTY 750	  Special Topics in Advanced Quantitative Methodology in Aging Research	  (1-4; maximum 20)	
GTY 751	  Categorical Modeling in Aging	  (3)	
GTY 790	  Pre-Candidacy Doctoral Research in Gerontology	  (1-12; maximum 12)	
GTY 850	  Doctoral Dissertation Research	  (1-16; maximum 60)	
HBW 101	  Beginning Modern Hebrew	  (4)	
HBW 102	  Beginning Modern Hebrew	  (4)	
HBW 177	  Independent Studies	  (0-5)	
HBW 201	  Intermediate Modern Hebrew	  (3)	
HBW 202	  Intermediate Modern Hebrew	  (3)	
HBW 277	  Independent Studies	  (0-5)	
HBW 377	  Independent Studies	  (0-5)	
HBW 477	  Independent Studies	  (0-5)	
HON 177	  Independent Studies	  (0-6)	
HON 181	  Foundations of Engaged Learning I	  (1-2; maximum 2)	
HON 190	  Introductionary Honors Experience	  (0-2; maximum 10)	
HON 290	  Intermediate Honors Learning Experience	  (0-2; maximum 10)	
HON 340	  Honors Internship	  (0-20)	
HON 390	  Advanced Honors Experience	  (0-2; maximum 10)	
HON 477	  Independent Studies	  (0-6)	
HST 111	  Survey of American History	  (3) (MPF)	
HST 112	  Survey of American History	  (3) (MPF)	
HST 147	  Introductory Seminar in History	  (1)	
HST 177	  Independent Studies	  (0-6)	
HST 189	  History of Miami University	  (3)	
HST 197	  World History to 1500	  (3) (MPF)	
HST 198	  World History Since 1500	  (3) (MPF)	
HST 206	  Introduction to Historical Inquiry	  (3)	
HST 212	  United States History since 1945	  (3)	
HST 216	  Introduction to Public History	  (3)	
HST 217	  Modern Latin American History	  (3)	
HST 221	  African-American History	  (3) (MPT)	
HST 222	  U	S. Foreign Relations Since 1898.  (3) (MPT)	
HST 224	  Africa to 1884	  (3) (MPF)	
HST 225	  The Making of Modern Africa	  (3) (MPF)	
HST 231	  Genocides in the 20th Century	  (3) (MPF)	
HST 236	  Medicine and Disease in Modern Society	  (3)	
HST 238	  Food in History	  (3) (MPF)	
HST 240	  Topics in World History	  (1-4; maximum 9)	
HST 241	  Introduction to Islamic History	  (3)	
HST 243	  History of the Atlantic Slave Trade, 1400s to 1800s	  (3)	
HST 245	  Making of Modern Europe, 1450-1750	  (3) (MPF)	
HST 246	  Survey of Medieval History	  (3) (MPT)	
HST 250	  History and Popular Culture	  (3)	
HST 252	  History at the Movies	  (3)	
HST 254	  Introduction to Russian and Eurasian Studies	  (3) (MPF)	
HST 259	  Introduction to the Miami Tribe of Oklahoma	  (3) (MPF)	
HST 260	  Latin America in the United States	  (3) (MPF)	
HST 270	  Topics in European History	  (1-4; maximum 12)	
HST 271L	  Western Heritage	  (3)	
HST 275	  20th Century European Diplomacy	  (3) (MPT)	
HST 277	  Independent Studies	  (0-6)	
HST 286	  Data, Ethics, and Society	  (3)	
HST 290	  Topics in American History	  (1-4; maximum 12)	
HST 296	  World History Since 1945	  (3) (MPF)	
HST 301	  Age of Revolutions, Europe 1750-1850	  (3)	
HST 304	  History, Memory, Tradition	  (3)	
HST 313	  History of England to 1688	  (3)	
HST 315	  The Renaissance	  (3) (MPT)	
HST 316	  The Age of the Reformation	  (3)	
HST 318	  British Empire	  (3)	
HST 319	  Revolution in Latin America	  (3)	
HST 324	  Eurasian Nomads and History	  (3)	
HST 326	  After Alexander:  The Hellenistic Age	  (3)	
HST 328	  Italy: Machiavelli to Mussolini	  (3)	
HST 330	  Topics in European History	  (1-4; maximum 9)	
HST 331	  Industry and Empire: Europe from 1850 to 1914	  (3)	
HST 332	  Age of Dictators: Europe 1914-1945	  (3) (MPT)	
HST 333	  Reconstruction of Europe Since 1945	  (3)	
HST 340	  Internship	  (0-20)	
HST 342	  Africa Since 1945	  (3)	
HST 346	  Medieval Jewish History	  (3) (MPT)	
HST 350	  Topics in American History	  (3; maximum 9)	
HST 353	  History of Chinese Civilization	  (3)	
HST 354	  Modern Chinese History	  (3)	
HST 355	  History of Modern Sport and National Identity	  (3)	
HST 356	  Modern Japanese History	  (3)	
HST 357	  Gilded Age America	  (3)	
HST 359	  Junior Honors Colloquium	  (3)	
HST 360	  Topics in World History	  (1-4; maximum 9)	
HST 361	  Colonial America	  (3)	
HST 362	  The Era of the American Revolution	  (3)	
HST 363	  The Early American Republic, 1783-1815	  (3)	
HST 365	  Civil War and Reconstruction Era	  (3)	
HST 367	  The United States in the 1960s	  (3) (MPT)	
HST 368	  United States from Progressive Era to Great Depression	  (3)	
HST 369	  United States in the Modern Era	  (3) (MPT)	
HST 371	  Native American History to 1840	  (3)	
HST 372	  Native American History since 1840	  (3)	
HST 374	  History of the Russian Empire	  (3) (MPT)	
HST 375	  The Soviet Union and Beyond	  (3) (MPT)	
HST 377	  Independent Studies	  (0-6)	
HST 379	  U	S. Consumerism, 1890-Present.  (3)	
HST 382	  Women in American History	  (3) (MPT)	
HST 383	  Women in Chinese History	  (3) (MPT)	
HST 385	  Race, Science, and Disease in the Americas	  (3)	
HST 386	  Race in U	S. Society.  (3)	
HST 387	  U	S. Constitutional Development to 1865.  (3)	
HST 392	  Sex and Gender in American Culture	  (3) (MPT)	
HST 397	  American Environmental History	  (3)	
HST 399B	  HST and Tourism in Beijing	  (6)	
HST 399D	  The Balkans: HST, POL and Cult	  (6)	
HST 400	  Senior Capstone in History	  (3; maximum 6) (MPC)	
HST 410/HST 510	  Topics in European History	  (3; maximum 9)	
HST 428	  History Through Literature	  (3)	
HST 433/HST 533	  Oral Tradition: History and Practice	  (3)	
HST 435/HST 535	  Public History Practicum	  (3)	
HST 436/HST 536	  Havighurst Colloquium	  (3)	
HST 450/HST 550	  Topics in American History	  (3; maximum 9)	
HST 452/HST 552	  Florence in the Time of the Republic, 1250-1550	  (3) (MPT)	
HST 459	  Historicizing the News	  (3)	
HST 470/HST 570	  Topics in World History	  (3; maximum 9)	
HST 472	  Germany 1918-1945	  (3) (MPT)	
HST 477	  Independent Studies	  (0-6)	
HST 480	  Departmental Honors	  (1-6; maximum 6)	
HST 601	  Historical Methods	  (3)	
HST 602	  History and Theories	  (3)	
HST 603	  Research Seminar I	  (3)	
HST 604	  Research Seminar II	  (3)	
HST 645	  College Teaching of History Surveys	  (0)	
HST 670	  Colloquium in History	  (3)	
HST 677	  Independent Studies	  (0-6)	
HST 700	  Research for Master's Thesis or Project	  (1-12; maximum 12)	
IDS 151	  Diversity Seminar	  (1)	
IDS 154	  Introduction to Study Abroad	  (2)	
IDS 156	  Study Abroad Reentry Seminar	  (1)	
IDS 159	  Strength Through Cultural Diversity	  (3) (MPF)	
IDS 177	  Independent Studies	  (0-6)	
IDS 206	  Diversity and Culture in American Film	  (3) (MPF)	
IDS 259	  Introduction to the Miami Tribe of Oklahoma	  (3) (MPF)	
IDS 277	  Independent Studies	  (0-6)	
IDS 340	  Internship	  (0-20)	
IDS 377	  Independent Studies	  (0-6)	
IDS 477	  Independent Studies	  (0-6)	
IES 127	  Environmental/Justice Films	  (1; maximum 4)	
IES 175	  First Year Seminar on the Environment and Sustainability	  (1)	
IES 177	  Independent Studies	  (0-6)	
IES 211	  Energy and Policy	  (3)	
IES 274	  Introduction to Environment and Sustainability	  (3)	
IES 275	  Principles of Environmental Science	  (3)	
IES 277	  Independent Studies	  (0-6)	
IES 278	  Introduction to Food Systems	  (3) (MPF)	
IES 278L	  Understanding Food Systems Laboratory	  (1) (MPF)	
IES 340	  Internship	  (0-20)	
IES 377	  Independent Studies	  (0-6)	
IES 411/IES 511	  Environmental Protocols	  (4)	
IES 412/IES 512	  Tropical Ecosystems of Costa Rica	  (5)	
IES 419/IES 519	  Environment, Society & Justice	  (3)	
IES 423/IES 523	  Tropical Marine Ecology	  (5)	
IES 429/IES 529	  Environmental Communication	  (3)	
IES 431/IES 531	  Principles and Applications of Environmental Science	  (3) (MPT)	
IES 440/IES 540	  Contemporary Topics in Environmental Sciences	  (1-3; maximum 3)	
IES 441/IES 541	  Environmental Public Health	  (3)	
IES 450/IES 550	  Environmental Law	  (3)	
IES 474	  Sustainability in Practice	  (3)	
IES 477	  Independent Studies	  (0-6)	
IES 494/IES 594	  Sustainability Perspectives in Resources and Business	  (3) (MPC)	
IES 598	  IES Orientation Field Trips	  (1)	
IES 605	  Introduction to the Professional Service Project	  (0)	
IES 610	  Professional Service Project	  (4)	
IES 611	  Environmental Problem Solving and Analysis	  (1)	
IES 620	  Topic Seminar	  (1)	
IES 640	  Internship	  (0-12; maximum 6)	
IES 641	  Earth Expeditions: Advanced Field	  (5)	
IES 642	  Amazon: Avian & Tropical Ecology	  (5)	
IES 643	  Australia: Great Barrier Reef	  (5)	
IES 644	  Baja: Field Methods	  (5)	
IES 645	  Belize: Approaches to Environmental Stewardship	  (5)	
IES 646	  Borneo: Primate Conservation	  (5)	
IES 647	  Guyana: Local Wisdom & Conservation	  (5)	
IES 648	  Hawai'i: Saving Species	  (5)	
IES 649	  Kenya: Wildlife & People in Integrated Landscapes	  (5)	
IES 651	  Mongolia: Steppe Ecology & Civic Media	  (5)	
IES 652	  Thailand: Buddhism & Conservation	  (5)	
IES 653	  India: Species, Deities & Communities	  (5)	
IES 665	  IES Internship or Practicum Development	  (1)	
IES 670	  Environmental Practicum	  (1-12; maximum 12)	
IES 677	  Independent Studies	  (0-6)	
IES 680	  Environmental Internship	  (1-12; maximum 12)	
IES 681	  Galápagos: Islands of Change	  (5)	
IES 682	  Paraguay: Eco-Leadership	  (5)	
IES 683	  Brazil:SavingGoldenLionTamarin	  (5)	
IES 685	  Internship/Practicum Final Report Writing	  (1)	
IES 690	  Special Problems in Environmental Science	  (1-4; maximum 6)	
IES 691	  Costa Rica: Neotropical Ecology	  (5)	
IES 692	  Namibia: Great Cat Conservation	  (5)	
IES 700	  Research for Master's Thesis	  (1-12; maximum 12)	
IMS 101	  Introduction to Emerging Technology in Business and Design	  (1)	
IMS 102	  Digital Experience Bootcamp	  (1; maximum 4)	
IMS 105	  Digital Literacy	  (1)	
IMS 109	  Digital Ethics	  (1)	
IMS 111	  Introduction to Game Careers	  (1)	
IMS 171	  Humanities and Technology	  (3) (MPF, MPT)	
IMS 177	  Independent Studies	  (0-6)	
IMS 201	  Information Studies and Digital Citizenship	  (3) (MPF, MPT)	
IMS 203	  Applied Digital Humanities	  (3) (MPF)	
IMS 211	  Introduction to Game Studies	  (3)	
IMS 212	  Introduction to Game Design	  (3)	
IMS 213	  Introduction to Game Development	  (3)	
IMS 215	  3D Digital Sculpting	  (3)	
IMS 218	  3D Shading and Texturing	  (3)	
IMS 221	  Music Technologies	  (3) (MPF)	
IMS 222	  Introduction to Interaction Design and Development	  (3) (MPF)	
IMS 224	  Digital Writing and Rhetoric: Composing with Words, Images and Sounds	  (3) (MPT)	
IMS 225	  Games and Learning	  (3)	
IMS 228	  Collaborative Laboratory 1	  (3; maximum 6)	
IMS 229	  Collaborative Laboratory 2	  (2)	
IMS 238	  Narrative and Digital Technology	  (3) (MPF, MPT)	
IMS 240	  Collaborative Client-based Project	  (3-4; maximum 8)	
IMS 253	  Building and Designing Interactive Devices	  (3)	
IMS 254	  Design Thinking & Design Principles Applied	  (3)	
IMS 259	  Art and Digital Tools I	  (3)	
IMS 261	  Information and Data Visualization	  (3)	
IMS 277	  Independent Studies	  (0-6)	
IMS 278	  Digital Innovation Workshop Preparation	  (1; maximum 2)	
IMS 279	  Luxembourg Digital Innovation Workshop Preparation	  (1; maximum 2)	
IMS 285	  Inside the Game Developers Conference	  (2; maximum 6)	
IMS 287	  Streaming Media: Twitch	tv and Beyond.  (3)	
IMS 304	  Electronic Music	  (3)	
IMS 305	  3D Character Design	  (3; maximum 6)	
IMS 306	  Advanced Electronic Music	  (3)	
IMS 314	  Game Usability & Human Factors	  (3)	
IMS 317	  Writing for Games	  (3)	
IMS 319	  Foundations in Digital 3-D Modeling and Animation	  (3) (MPT)	
IMS 322	  Intermediate Interaction Design and Development	  (3; maximum 6)	
IMS 333	  Digital Innovation and Entrepreneurship	  (3) (MPT)	
IMS 340	  Internship	  (0-20)	
IMS 351	  Introduction to Mobile Application Development	  (3; maximum 6)	
IMS 354	  Intermed Interaction Design	  (3)	
IMS 355	  Principles and Practices of Managing Interactive Projects	  (3)	
IMS 375	  Human Robot Interaction	  (3)	
IMS 377	  Independent Studies	  (0-6)	
IMS 381	  Music for Games	  (3)	
IMS 382	  The Business of Games	  (3)	
IMS 384	  Rhetoric of Games	  (3)	
IMS 390	  Special Topics in Interactive Media Studies	  (3; maximum 9)	
IMS 390C	  Special Topics in Interactive Media Studies	  (3)	
IMS 390S	  Special Topics in Interactive Media Studies	  (3)	
IMS 391	  3D Character Animation	  (3)	
IMS 392	  Content Marketing	  (3)	
IMS 396	  Inside Startups	  (3; maximum 6)	
IMS 397	  Inside the Startup Environment (SF)	  (3; maximum 6) (MPF)	
IMS 398	  Startup Networking	  (1; maximum 2)	
IMS 404Y	  Mind and Medium	  (3)	
IMS 407/IMS 507	  Interactive Business Communication	  (3)	
IMS 411/IMS 511	  Visual Rhetoric	  (3) (MPT)	
IMS 413/IMS 513	  User Experience Research	  (3)	
IMS 414/IMS 514	  Web and Social Media Analytics	  (3)	
IMS 415/IMS 515	  Advanced Usability and User Experience	  (3)	
IMS 416/IMS 516	  Writing for Global Audiences	  (3)	
IMS 418/IMS 518	  Social Media Marketing and Online Community Management	  (3)	
IMS 419/IMS 519	  Digital Branding	  (3) (MPT)	
IMS 421	  Digital Product Management	  (3)	
IMS 422/IMS 522	  Advanced Interaction Design and Development	  (3)	
IMS 424/IMS 524	  Ethics and Digital Media	  (3)	
IMS 426/IMS 526	  Developing & Publishing Digital Books	  (3)	
IMS 430/IMS 530	  Motion Design Toolkit	  (3)	
IMS 431/IMS 531	  Creative Direction in Entertainment Design	  (3)	
IMS 432/IMS 532	  Invention, Innovation and Implementation in Entertainment Design	  (3)	
IMS 440/IMS 540	  Interactive Media Studies Practicum	  (4; maximum 8) (MPC)	
IMS 443	  Research Methods in Games	  (3)	
IMS 445	  Advanced Game Design	  (3) (MPT)	
IMS 452	  Senior Degree Project	  (3) (MPT)	
IMS 453	  Indie Game Development I	  (3; maximum 6)	
IMS 454	  Indie Game Development II	  (3; maximum 6)	
IMS 461/IMS 561	  Virtual Reality	  (3)	
IMS 465	  Game Engine Scripting	  (3)	
IMS 466/IMS 566	  Critical Game Development	  (3; maximum 6)	
IMS 470/IMS 570	  Introduction to Esports	  (2)	
IMS 471/IMS 571	  Esports Broadcasting	  (2)	
IMS 472/IMS 572	  Esports Event Management	  (2)	
IMS 473/IMS 573	  The Business of Esports	  (2)	
IMS 474/IMS 574	  Special Topics in Esports	  (2)	
IMS 475/IMS 575	  Esports Brand Management	  (2)	
IMS 476/IMS 576	  Esports Event Practicum	  (2; maximum 4)	
IMS 477	  Independent Studies	  (0-6)	
IMS 478/IMS 578	  Esports Ecosystems	  (1)	
IMS 480/IMS 580	  Esports Tournament Ecosystems	  (1)	
IMS 485/IMS 585	  Technology Entrepreneurship Ecosystems	  (1)	
IMS 486	  Advanced Digital Marketing	  (3)	
IMS 487/IMS 587	  Game Prototyping, Pipeline and Production	  (3)	
IMS 488	  Game Preproduction	  (3)	
IMS 489	  Game Production	  (6) (MPT)	
IMS 490/IMS 590	  Advanced Topics in Interactive Media Studies	  (3; maximum 6)	
IMS 491/IMS 591	  Tech Startup Bootcamp	  (2)	
IMS 492/IMS 592	  Startup Development Bootcamp	  (2)	
IMS 493/IMS 593	  Startup Design Bootcamp	  (2)	
IMS 617	  Interactive Web Programming	  (3)	
IMS 640	  Internship	  (0-12; maximum 6)	
IMS 652	  Graduate Research Project	  (3)	
IMS 677	  Independent Studies	  (0-6)	
ISA 125	  Introduction to Business Statistics	  (3)	
ISA 177	  Independent Studies	  (0-6)	
ISA 203	  Supplementary Business Statistics	  (1)	
ISA 211	  Information Technology and Data Driven Decision Making in Business	  (3)	
ISA 225	  Principles of Business Analytics	  (3)	
ISA 235	  Information Technology and the Intelligent Enterprise	  (3) (MPT)	
ISA 243	  Database and Programming for Analytics	  (3)	
ISA 245	  Database Systems and Data Warehousing	  (3) (MPT)	
ISA 250	  Basic Math for Analytics	  (3)	
ISA 277	  Independent Studies	  (0-6)	
ISA 281	  Concepts in Business Programming	  (3)	
ISA 291	  Applied Regression Analysis in Business	  (3) (MPT)	
ISA 301	  Business Data Communications and Security	  (3)	
ISA 303	  Enterprise Systems	  (3) (MPT)	
ISA 305	  Information Technology Governance, Risk Management, Security and Audit	  (3)	
ISA 321	  Quantitative Analysis of Business Problems	  (3) (MPT)	
ISA 333	  Nonparametric Statistics	  (3) (MPT)	
ISA 335	  Blockchain and Business Applications	  (3)	
ISA 340	  Internship	  (0-20)	
ISA 365	  Statistical Monitoring and Design of Experiments	  (3)	
ISA 377	  Independent Studies	  (0-6)	
ISA 385	  Applications of Electronic Commerce Technology	  (3) (MPT)	
ISA 387	  Designing Business Systems	  (3)	
ISA 401/ISA 501	  Business Intelligence and Data Visualization	  (3)	
ISA 403	  Building Web and Mobile Business Applications	  (3)	
ISA 405	  Information Security	  (3)	
ISA 406	  IT Project Management	  (3)	
ISA 412/ISA 512	  Data Warehousing and Business Intelligence	  (3)	
ISA 414/ISA 514	  Managing Big Data	  (3)	
ISA 432	  Survey Sampling in Business	  (3) (MPT)	
ISA 444	  Business Forecasting	  (3) (MPT)	
ISA 477	  Independent Studies	  (0-6)	
ISA 480	  Topics in Business Analytics	  (1-3; maximum 3)	
ISA 481	  Topics in Information Systems	  (3-4; maximum 3)	
ISA 491/ISA 591	  Introduction to Data Mining in Business	  (3) (MPT)	
ISA 495	  Managing the Intelligent Enterprise	  (3) (MPC)	
ISA 496	  Business Analytics Practicum	  (3)	
ISA 616	  Communicating with Data	  (3)	
ISA 621	  Enabling Technology Topics I	  (3)	
ISA 625	  Management of Information Technology	  (3)	
ISA 628	  Information Technology and Analytic's Role in the Enterprise	  (1.5)	
ISA 629	  Leveraging IT and Data Across the Business	  (1.5)	
ISA 630	  Machine Learning Applications in Business	  (3)	
ISA 632	  Big Data Analytics and Modern AI	  (3)	
ISA 633	  Prescriptive Analytics in Business	  (3)	
ISA 634	  Analytics Solution Deployment and Lifecycle Management	  (3)	
ISA 635	  Introduction to Predictive Analytics	  (3)	
ISA 636	  Managing Data for Business Analytics	  (3)	
ISA 638	  Predictive Analytics and Data Mining	  (3)	
ISA 641	  Data Discovery Through Business Analytics for Managers	  (2)	
ISA 650	  Business Analytics Practicum	  (3; maximum 6)	
ISA 680	  Special Studies in Decision Sciences	  (1-3)	
ISA 681	  Studies-Management Information Systems	  (1-3)	
ITL 101	  Beginner's Course	  (4)	
ITL 102	  Beginner's Course	  (4)	
ITL 105W	  Intensive Elementary Italian	  (8)	
ITL 177	  Independent Studies	  (0-6)	
ITL 201	  Second Year Italian	  (3)	
ITL 202	  Second Year Italian	  (3)	
ITL 205W	  Intensive Intermediate Italian	  (8)	
ITL 221	  Italy, Matrix of Civilization	  (3) (MPF)	
ITL 222	  Italian American Culture	  (3) (MPF)	
ITL 262	  Italian Cinema	  (3) (MPT)	
ITL 277	  Independent Studies	  (0-6)	
ITL 301	  Culture, Society and Politics in Perspective	  (3)	
ITL 302	  Introduction to Italian Literature	  (3)	
ITL 305W	  Intensive Advanced Italian	  (8)	
ITL 350	  Special Topics	  (3; maximum 6)	
ITL 364	  From Marco Polo to Machiavelli	  (3) (MPT)	
ITL 377	  Independent Studies	  (0-6)	
ITL 401	  Dante's Divine Comedy	  (3) (MPT)	
ITL 410	  Topics in Italian	  (3; maximum 9)	
ITL 420	  Italian Contributions to the World	  (3)	
ITL 477	  Independent Studies	  (0-6)	
ITL 677	  Independent Studies	  (0-6)	
ITL 680	  Independent Studies	  (1-6)	
ITS 141L	  European Cities in Cultural Context/Luxembourg	  (1)	
ITS 142L	  Great European Cities	  (1)	
ITS 177	  Independent Studies	  (0-6)	
ITS 201	  Introduction to International Studies	  (3) (MPF, MPT)	
ITS 202	  Writing Policy Analysis	  (3)	
ITS 208	  The Rise of Industrialism in East Asia	  (3) (MPF)	
ITS 254	  Introduction to Russian and Eurasian Studies	  (3) (MPF)	
ITS 277	  Independent Studies	  (0-6)	
ITS 301	  Intercultural Relations	  (3) (MPT)	
ITS 302	  Problems of Non-Western Societies	  (3)	
ITS 333	  Global Development and Inequality	  (3)	
ITS 340	  Internship	  (0-20)	
ITS 365	  Applied Topics in International Studies	  (3; maximum 6)	
ITS 377	  Independent Studies	  (0-6)	
ITS 390	  Special Topics in International Studies	  (1-3)	
ITS 402	  Senior Capstone in International Studies	  (3) (MPC)	
ITS 402N	  Problems of the Middle East	  (3)	
